"t_index","date"
488,"2009-10-30"
489,"2009-11-06"
490,"2009-11-13"
491,"2009-11-20"
492,"2009-11-27"
493,"2009-12-04"
494,"2009-12-11"
495,"2009-12-18"
496,"2009-12-25"
497,"2010-01-01"
498,"2010-01-08"
499,"2010-01-15"
500,"2010-01-22"
501,"2010-01-29"
502,"2010-02-05"
503,"2010-02-12"
504,"2010-02-26"
505,"2010-03-05"
506,"2010-03-12"
507,"2010-03-19"
508,"2010-03-26"
509,"2010-04-02"
510,"2010-04-09"
511,"2010-04-16"
512,"2010-04-23"
513,"2010-04-30"
514,"2010-05-07"
515,"2010-05-14"
516,"2010-05-21"
517,"2010-05-28"
518,"2010-06-04"
519,"2010-06-11"
520,"2010-06-18"
521,"2010-06-25"
522,"2010-07-02"
523,"2010-07-09"
524,"2010-07-16"
525,"2010-07-23"
526,"2010-07-30"
527,"2010-08-06"
528,"2010-08-13"
529,"2010-08-20"
530,"2010-08-27"
531,"2010-09-03"
532,"2010-09-10"
533,"2010-09-17"
534,"2010-09-24"
535,"2010-10-01"
536,"2010-10-08"
537,"2010-10-15"
538,"2010-10-22"
539,"2010-10-29"
540,"2010-11-05"
541,"2010-11-12"
542,"2010-11-19"
543,"2010-11-26"
544,"2010-12-03"
545,"2010-12-10"
546,"2010-12-17"
547,"2010-12-24"
548,"2010-12-31"
549,"2011-01-07"
550,"2011-01-14"
551,"2011-01-21"
552,"2011-01-28"
553,"2011-02-04"
554,"2011-02-11"
555,"2011-02-18"
556,"2011-02-25"
557,"2011-03-04"
558,"2011-03-11"
559,"2011-03-18"
560,"2011-03-25"
561,"2011-04-01"
562,"2011-04-08"
563,"2011-04-15"
564,"2011-04-22"
565,"2011-04-29"
566,"2011-05-06"
567,"2011-05-13"
568,"2011-05-20"
569,"2011-05-27"
570,"2011-06-03"
571,"2011-06-10"
572,"2011-06-17"
573,"2011-06-24"
574,"2011-07-01"
575,"2011-07-08"
576,"2011-07-15"
577,"2011-07-22"
578,"2011-07-29"
579,"2011-08-05"
580,"2011-08-12"
581,"2011-08-19"
582,"2011-08-26"
583,"2011-09-02"
584,"2011-09-09"
585,"2011-09-16"
586,"2011-09-23"
587,"2011-09-30"
588,"2011-10-14"
589,"2011-10-21"
590,"2011-10-28"
591,"2011-11-04"
592,"2011-11-11"
593,"2011-11-18"
594,"2011-11-25"
595,"2011-12-02"
596,"2011-12-09"
597,"2011-12-16"
598,"2011-12-23"
599,"2011-12-30"
600,"2012-01-06"
601,"2012-01-13"
602,"2012-01-20"
603,"2012-02-03"
604,"2012-02-10"
605,"2012-02-17"
606,"2012-02-24"
607,"2012-03-02"
608,"2012-03-09"
609,"2012-03-16"
610,"2012-03-23"
611,"2012-03-30"
612,"2012-04-06"
613,"2012-04-13"
614,"2012-04-20"
615,"2012-04-27"
616,"2012-05-04"
617,"2012-05-11"
618,"2012-05-18"
619,"2012-05-25"
620,"2012-06-01"
621,"2012-06-08"
622,"2012-06-15"
623,"2012-06-22"
624,"2012-06-29"
625,"2012-07-06"
626,"2012-07-13"
627,"2012-07-20"
628,"2012-07-27"
629,"2012-08-03"
630,"2012-08-10"
631,"2012-08-17"
632,"2012-08-24"
633,"2012-08-31"
634,"2012-09-07"
635,"2012-09-14"
636,"2012-09-21"
637,"2012-09-28"
638,"2012-10-12"
639,"2012-10-19"
640,"2012-10-26"
641,"2012-11-02"
642,"2012-11-09"
643,"2012-11-16"
644,"2012-11-23"
645,"2012-11-30"
646,"2012-12-07"
647,"2012-12-14"
648,"2012-12-21"
649,"2012-12-28"
650,"2013-01-04"
651,"2013-01-11"
652,"2013-01-18"
653,"2013-01-25"
654,"2013-02-01"
655,"2013-02-08"
656,"2013-02-22"
657,"2013-03-01"
658,"2013-03-08"
659,"2013-03-15"
660,"2013-03-22"
661,"2013-03-29"
662,"2013-04-05"
663,"2013-04-12"
664,"2013-04-19"
665,"2013-04-26"
666,"2013-05-03"
667,"2013-05-10"
668,"2013-05-17"
669,"2013-05-24"
670,"2013-05-31"
671,"2013-06-07"
672,"2013-06-14"
673,"2013-06-21"
674,"2013-06-28"
675,"2013-07-05"
676,"2013-07-12"
677,"2013-07-19"
678,"2013-07-26"
679,"2013-08-02"
680,"2013-08-09"
681,"2013-08-16"
682,"2013-08-23"
683,"2013-08-30"
684,"2013-09-06"
685,"2013-09-13"
686,"2013-09-20"
687,"2013-09-27"
688,"2013-10-04"
689,"2013-10-11"
690,"2013-10-18"
691,"2013-10-25"
692,"2013-11-01"
693,"2013-11-08"
694,"2013-11-15"
695,"2013-11-22"
696,"2013-11-29"
697,"2013-12-06"
698,"2013-12-13"
699,"2013-12-20"
700,"2013-12-27"
701,"2014-01-03"
702,"2014-01-10"
703,"2014-01-17"
704,"2014-01-24"
705,"2014-01-31"
706,"2014-02-07"
707,"2014-02-14"
708,"2014-02-21"
709,"2014-02-28"
710,"2014-03-07"
711,"2014-03-14"
712,"2014-03-21"
713,"2014-03-28"
714,"2014-04-04"
715,"2014-04-11"
716,"2014-04-18"
717,"2014-04-25"
718,"2014-05-02"
719,"2014-05-09"
720,"2014-05-16"
721,"2014-05-23"
722,"2014-05-30"
723,"2014-06-06"
724,"2014-06-13"
725,"2014-06-20"
726,"2014-06-27"
727,"2014-07-04"
728,"2014-07-11"
729,"2014-07-18"
730,"2014-07-25"
731,"2014-08-01"
732,"2014-08-08"
733,"2014-08-15"
734,"2014-08-22"
735,"2014-08-29"
736,"2014-09-05"
737,"2014-09-12"
738,"2014-09-19"
739,"2014-09-26"
740,"2014-10-03"
741,"2014-10-10"
742,"2014-10-17"
743,"2014-10-24"
744,"2014-10-31"
745,"2014-11-07"
746,"2014-11-14"
747,"2014-11-21"
748,"2014-11-28"
749,"2014-12-05"
750,"2014-12-12"
751,"2014-12-19"
752,"2014-12-26"
753,"2015-01-02"
754,"2015-01-09"
755,"2015-01-16"
756,"2015-01-23"
757,"2015-01-30"
758,"2015-02-06"
759,"2015-02-13"
760,"2015-02-20"
761,"2015-02-27"
762,"2015-03-06"
763,"2015-03-13"
764,"2015-03-20"
765,"2015-03-27"
766,"2015-04-03"
767,"2015-04-10"
768,"2015-04-17"
769,"2015-04-24"
770,"2015-05-01"
771,"2015-05-08"
772,"2015-05-15"
773,"2015-05-22"
774,"2015-05-29"
775,"2015-06-05"
776,"2015-06-12"
777,"2015-06-19"
778,"2015-06-26"
779,"2015-07-03"
780,"2015-07-10"
781,"2015-07-17"
782,"2015-07-24"
783,"2015-07-31"
