date,delta_ret,delta_vol,loglik,success,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,rho_20,rho_21,rho_22,rho_23,rho_24,rho_25,rho_26,rho_27,rho_28,rho_29,rho_30
2019-02-22,0.9894945926134494,0.010505407386550664,6776.095374032818,True,1.999999999829055,2.0,2.0,1.9999999999097755,1.999999999937123,1.9999999999971252,2.0,2.0,1.999999999925436,1.9999999999116969,1.999999999917723,1.999999999935972,1.9999999999462126,1.9999999999984972,1.9547789991424531,2.0,2.0,2.0,2.0,1.9999999999206808,1.9999999999250175,2.0,2.0,2.0,2.0,1.9999999999445113,2.0,2.0,2.0,1.9999999999180493,1.9999999999053644
2019-03-22,0.9940676500435084,0.005932349956491666,6739.071911755886,True,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2019-04-19,0.8078786660163629,0.19212133398363707,6707.020029914119,True,2.0,2.0,2.0,1.9999999999999878,1.9999999999915024,2.0,1.9999999999805165,1.999999999991257,1.9999999999982936,2.0,1.9999999999945635,2.0,1.9999999999862272,2.0,1.9999999999851386,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9999999999998477
2019-05-17,0.15937765216275523,0.8406223478372448,6704.590386612228,True,0.46112676232051475,2.0,2.0,1.2236009825289558,1.9999999999964992,1.9999999999989873,1.9999999999968112,1.999999999996538,1.9999999999974134,1.999999999996768,2.0,1.9999999999977636,1.9999999999966485,2.0,1.999999999996613,2.0,2.0,2.0,2.0,1.999999999997256,1.999999999996439,2.0,2.0,1.9999999999992655,2.0,1.9232306031865312,2.0,2.0,2.0,0.5041909625275693,0.047375981867007796
2019-06-14,0.05713451905140248,0.9428654809485976,6739.935950393177,True,0.11471739228968307,1.9999999999608244,1.9999999999611278,1.2663866146119496,1.8446752915480538,2.0,2.0,2.0,2.0,2.0,1.9999999999631148,2.0,2.0,1.99999999996609,2.0,1.9999999999661648,1.9999999999600817,1.9999999999630516,1.999999999960644,2.0,1.8871700233889255,1.9999999999605587,1.9999999999592646,2.0,1.9999999999600981,1.876080872339493,1.9999999999582676,1.999999999965279,1.9999999999673024,0.5631201578651842,1.4000906248418216e-12
2019-07-12,0.061151827625676995,0.9388481723743229,6783.204451484002,True,0.9219625146436705,1.9999999999997664,1.9999999999997788,1.501686912015694,1.9999999999901306,1.9999999999961904,1.999999999990662,1.9999999999906442,1.999999999994094,1.999999999995895,1.9999999999997924,1.9999999999904008,1.9999999999913274,1.999999999999812,1.9999999999909188,1.9999999999998168,1.9999999999998088,1.999999999999903,1.999999999999766,1.9999999999943912,1.9999999999901283,1.9999999999997786,1.9999999999997646,1.9999999999928084,1.9999999999997777,1.9999999999997988,1.9999999999997626,1.999999999999807,1.999999999999834,0.4372928180598169,3.729604105568571e-12
2019-08-09,0.10597499903587462,0.8940250009641253,6821.428284933788,True,0.9417943618450715,2.0,2.0,1.6975365828339284,1.8428576651038153,1.9999999999969649,1.9999999999916056,1.9999999999928622,1.9999999999966027,1.9999999999943394,2.0,1.9999999999913778,1.9999999999923612,2.0,1.9999999999919509,2.0,2.0,2.0,2.0,1.9999999999935185,1.9999999999910516,2.0,2.0,1.999999999994544,2.0,2.0,2.0,2.0,2.0,0.16040053816521052,0.0
2019-09-06,0.07508593302572014,0.9249140669742799,6824.667056243019,True,0.3338516231995309,1.999999999999993,1.9999999999999933,1.492314316674043,1.8910463802175361,1.9999999999356717,1.9999999999650018,1.9999999999519527,1.999999999999994,1.9999999999782878,1.9999999999999938,1.9999999999356524,1.9999999999269817,1.9999999999999936,1.9999999999367195,1.999999999999994,1.9999999999999936,1.9999999999999931,1.9999999999999931,1.999999999995252,1.8581572873275505,1.9999999999999933,1.9999999999999927,1.9999999999714728,1.9999999999999931,1.9999999999999936,1.9999999999999927,1.999999999999994,1.9999999999999942,0.2814737573983058,3.26683528921032e-16
2019-10-04,3.5591743863641184e-12,0.9999999999964408,6868.884366986482,True,0.2320147296514927,1.9999999999893818,1.9999999999900497,1.9999999999907148,1.6658782917707464,1.9999999999901865,2.0,2.0,1.9999999999906284,2.0,1.9999999999901197,2.0,2.0,1.9999999999905826,2.0,1.999999999990463,1.999999999990345,1.9999999999900546,1.999999999989826,2.0,2.0,1.9999999999898141,1.9999999999888685,1.9999999999958602,1.9999999999896008,1.9999999999904186,1.999999999989274,1.9999999999905347,1.9999999999908897,0.4079105990947352,0.7158625726669672
2019-11-01,1.274975507716357e-11,0.9999999999872503,6910.507463368473,True,1.1318513599431814,1.9999999999778322,1.9999999999792648,1.6088501678354818,1.7747981307522256,2.0,2.0,2.0,2.0,2.0,1.999999999979753,2.0,2.0,1.999999999979309,2.0,1.9999999999810658,1.9999999999803661,2.0,1.9999999999792533,2.0,2.0,1.9999999999787825,1.9999999999772164,2.0,1.9999999999785956,1.9999999999792428,1.9999999999783558,1.9999999999810107,1.9999999999816955,6.112266225578046e-11,1.8520273401748537
